name,priority,dec_j2000,ra_j2000,v_mag,t0_bjd_tdb,t0_unc,period_days,period_unc,min_telescope_inches,depth_r_mmag,duration_hours,rp_over_rs,sma_over_rs,inclination,eccentricity,periastron
HATS-64b,alert,-29:48:01.574,09:37:09.0299,12.924,2458265.6222,0.0011,4.9088963,7.2e-06,9.44,7.870753935376968,5.82,0.0817,6.68,87.2,0.0,0.0
HATS-65b,medium,-26:44:24.724,19:31:45.5518,12.497,2458669.87103,0.00018,3.10515933,6.2e-07,6.01,14.793335174445364,2.9,0.118,7.38,84.8,0.0,0.0
HATS-67b,low,-46:08:11.124,12:00:50.1182,13.653,2457796.8820709,4.9e-06,1.60918324,5.1e-07,9.04,12.869373101353217,1.98,0.1201,4.53,79.0,0.0,0.0
HATS-68b,low,-58:54:17.124,01:00:01.4134,12.281,2458798.2767,0.00047,3.5862211,2.4e-06,11.98,5.339224891834668,3.46,0.0725,6.23,83.21,0.0,0.0
HATS-70b,medium,-31:14:39.858,07:16:25.0880,12.23,2458309.17297,0.00047,1.88823968,7.6e-07,11.95,6.324219828776581,3.67,0.074,4.17,86.7,0.0,0.0
HATS-72b,high,-16:59:59.788,22:36:06.3189,12.469,2458124.28757,4.5e-05,7.3279496,1.4e-06,5.97,13.62422903433674,3.09,0.1029,19.821,89.56,0.0,0.0
HD1397b,high,-66:21:32.064,00:17:47.1522,7.78,2458332.0826,0.0006,11.5353,0.0008,9.81,2.4855012427506216,8.56,0.0449,9.2,88.7,0.22,35.3
HD2685b,high,-76:18:14.623,00:29:18.9527,9.59,2458726.093504,8.9e-05,4.1269052,1e-06,5.0,10.73368314461935,4.49,0.09467,7.697,89.25,0.091,184.36
HD3167b,high,+04:22:53.283,00:34:57.5243,8.956,2457394.3745,0.0004,0.959641,1.2e-05,103.98,0.3498112860167541,1.64,0.0174,4.1,83.4,0.0,0.0
HD3167c,high,+04:22:53.283,00:34:57.5243,8.956,2457394.9788,0.0012,29.8454,0.0012,26.08,1.1138727791586118,4.82,0.03075,44.01,89.421,0.0,0.0
HD5278b,high,-83:44:38.033,00:50:09.9047,7.95,2458695.03676,0.00069,14.339169,3.6e-05,64.41,0.4142502071251036,4.81,0.01874,21.2,89.27,0.08,135.0
HD15906b,high,-10:21:06.411,02:33:05.2824,9.76,2458416.3453,0.0034,10.924709,3.2e-05,61.64,0.6443892110834943,1.81,0.027,25.35,87.98,0.11,160.5
HD15906c,high,-10:21:06.411,02:33:05.2824,9.76,2457430.8296,0.0027,21.583298,5.2e-05,38.9,0.9757893767835772,2.17,0.035,39.92,88.75,0.04,247.9
HD17156b,medium,+71:45:11.632,02:49:44.4866,8.16,2455499.305815,8.2e-05,21.2164387,1.1e-06,5.0,6.342630949093252,3.13,0.0745,23.2,86.49,0.677,121.7
HD21749c,high,-63:29:56.762,03:26:59.2226,8.143,2458371.2287,0.0016,7.78993,0.00051,169.0,0.17490564300837705,2.52,0.01196,21.8,88.9,0.0,0.0
HD23472c,high,-62:46:01.477,03:41:50.3987,9.72,2458370.1037,0.0019,29.79749,0.00013,61.17,0.5707447298168093,2.96,0.0243,50.2,89.095,0.063,2.0
HD23472f,high,-62:46:01.477,03:41:50.3987,9.72,2458360.0754,0.0049,12.1621839,0.00012,142.58,0.24855012427506215,2.75,0.01478,28.0,88.81,0.07,4.0
HD28109c,high,-68:06:09.514,04:20:57.1321,9.38,2458377.80109,0.00724,56.00819,0.00194,36.74,0.8100892939335358,8.97,0.02632,45.76188461196509,89.543,0.0,0.0
HD28109d,high,-68:06:09.514,04:20:57.1321,9.38,2458355.67324,0.00432,84.25999,0.00744,62.71,0.4694835680751174,10.14,0.01999,61.07977665026642,89.682,0.0,0.0
HD63433b,high,+27:21:47.458,07:49:55.0604,6.91,2459342.92881,0.00047,7.107939,1.1e-05,45.99,0.5707447298168093,3.22,0.02161,16.95,89.38,0.0,0.0
HD63433c,high,+27:21:47.458,07:49:55.0604,6.91,2459296.02303,0.00013,20.543806,8.3e-06,30.4,0.8285004142502072,4.06,0.02687,34.38,89.147,0.0,0.0
HD63935b,high,+09:23:09.793,07:51:41.9965,8.58,2458494.4462,0.001,9.058811,1.7e-05,31.72,0.9389671361502347,3.36,0.0285,18.64,88.49,0.0,0.0
HD63935c,high,+09:23:09.793,07:51:41.9965,8.58,2459231.828,0.0014,21.4023,0.0019,36.25,0.7732670533001933,4.84,0.0277,24.1,88.241,0.0,0.0
HD73583b,high,-13:15:24.092,08:38:45.2603,9.63,2458517.69013,0.00056,6.398042,6.7e-06,21.21,1.7214397496087637,2.23,0.03932,19.98,88.37,0.09,284.0
HD73583c,high,-13:15:24.092,08:38:45.2603,9.63,2459232.1682,0.0019,18.87974,0.00086,22.57,1.4544785050170304,3.74,0.03368,41.11,89.72,0.08,318.4
HD80606b,alert,+50:36:13.434,09:22:37.5769,9.0,2455210.6428,0.001,111.4367,0.0004,5.0,9.50934364356071,11.89,0.1001,97.0,89.269,0.933,300.77
HD86226c,high,-24:05:57.795,09:56:29.8441,7.93,2458698.6559,0.00065,3.9846654,9.2e-06,80.86,0.37742796649176097,2.45,0.0188,10.11,86.45,0.075,196.0
HD89345b,high,+10:07:44.504,10:18:41.0578,9.38,2459118.8724,0.0012,11.814417,1.9e-05,19.0,1.6201785878670716,5.62,0.0378,14.68,87.9,0.2,345.1
HD93963Ac,high,+25:38:28.189,10:51:06.5136,9.18,2458902.87274,0.001,3.6451398,1.06e-05,40.91,0.8653226548835495,2.27,0.02838,9.92,86.31,0.0,0.0
HD97658b,high,+25:42:37.391,11:14:33.1613,7.714,2457339.205224,9.8e-05,9.4893037,1.6e-06,23.39,1.2151339409003037,2.84,0.0311,26.2,89.8,0.0,0.0
HD106315c,ttvs,-00:23:36.554,12:13:53.3965,8.951,2458432.34123,0.00056,21.056614,5.4e-05,28.19,1.077050538525269,4.67,0.0303,33.4,89.4,0.0,0.0
HD108236b,high,-51:21:46.214,12:26:17.8916,9.24,2459027.674,0.015,3.79666,0.00017,112.23,0.3129890453834116,2.41,0.01638,11.35,87.88,0.2,190.0
HD108236c,high,-51:21:46.214,12:26:17.8916,9.24,2458907.39059,0.00083,6.203688,1.5e-05,63.18,0.5339224891834667,2.91,0.02134,16.6,88.72,0.18,210.0
HD108236d,high,-51:21:46.214,12:26:17.8916,9.24,2458939.90934,0.00077,14.175876,3e-05,34.44,0.9297615759918991,3.85,0.02805,27.39,89.22,0.17,190.0
HD108236e,high,-51:21:46.214,12:26:17.8916,9.24,2458978.37245,0.00091,19.590186,5e-05,25.77,1.2335450612169752,4.02,0.0323,33.9,89.32,0.2,170.0
HD109833b,high,-74:34:26.368,12:39:06.4022,9.31,2456437.57374,0.00091,9.188526,2.6e-05,45.39,0.7548559329835219,2.81,0.0265,19.9,88.13,0.0,0.0
HD109833c,high,-74:34:26.368,12:39:06.4022,9.31,2456440.7567,0.0015,13.900148,5.7e-05,81.76,0.4694835680751174,1.74,0.0237,29.4,88.24,0.0,0.0
HD110082b,high,-88:07:15.718,12:50:22.0202,9.23,2458629.909,0.001,10.18271,4e-05,48.47,0.6996225720335082,2.95,0.025,20.0,88.2,0.2,138.0
HD110113b,high,-44:18:43.267,12:40:08.7806,10.05,2459103.603217,2.2e-05,2.54047309,1.9e-07,103.57,0.38663352665009665,2.43,0.018,7.75,87.69,0.093,359.53
HD136352c,high,-48:19:03.462,15:21:48.1511,5.65,2458954.4099,0.00052,27.59221,0.00011,43.99,0.5615391696584737,3.25,0.02526,34.97,88.571,0.0,0.0
HD149026b,medium,+38:20:50.310,16:30:29.6184,8.14,2457217.64141,0.00011,2.8758885,1.4e-07,8.96,3.2495627358924786,3.25,0.0542,6.01,84.5,0.0,0.0
HD152843b,high,+20:29:28.794,16:55:08.3561,8.85,2458994.2831,0.0024,11.6264,0.0022,50.18,0.579950289975145,5.53,0.02201,14.2,88.85,0.14,51.8
HD152843c,high,+20:29:28.794,16:55:08.3561,8.85,2459002.7708,0.0011,24.38,6.23,17.56,1.6293841480254072,6.36,0.03764,25.1,88.89,0.115,51.0
HD183579b,high,-54:31:56.541,19:33:08.5944,8.68,2458661.06279,0.00071,17.471275,9.7e-06,22.61,1.2887784221669887,4.35,0.03319,29.0,89.17,0.0,0.0
HD189733b,low,+22:42:39.071,20:00:43.7130,7.648,2456194.067619,3.4e-05,2.218574944,3e-08,5.0,26.106968609039857,1.81,0.15534,8.92,85.78,0.0,0.0
HD191939b,ttvs,+66:51:02.075,20:08:05.7549,8.97,2458910.72284,0.00024,8.880318,1.2e-05,25.56,1.2427506213753108,3.08,0.03343,18.67,88.18,0.0,0.0
HD191939c,ttvs,+66:51:02.075,20:08:05.7549,8.97,2458868.95493,0.0009,28.57968,0.00016,27.18,1.0954616588419404,4.45,0.03158,40.49,89.124,0.0,0.0
HD191939d,ttvs,+66:51:02.075,20:08:05.7549,8.97,2458743.5505,0.0015,38.3561,0.0012,25.69,1.1230783393169474,5.54,0.03089,49.32,89.49,0.0,0.0
HD202772Ab,high,-26:36:58.051,21:18:47.8761,10.21,2458705.89569,0.00016,3.3088753,1.4e-06,6.96,4.391052195526097,5.69,0.0613,4.27,84.5,0.04,98.0
HD207496b,high,-77:20:16.794,21:54:51.3012,8.246,2458658.78978,0.0005,6.441008,1.1e-05,37.63,0.8745282150418853,1.8,0.02663,21.47,88.79,0.231,57.0
HD209458b,low,+18:53:03.548,22:03:10.7729,7.63,2455420.84456,0.00016,3.52474955,3.2e-07,5.0,16.671269446745832,3.09,0.12086,8.76,86.71,0.0,0.0
HD219134b,high,+57:10:06.083,23:13:16.9749,5.57,2458694.81665,0.00026,3.0929338,1.7e-06,126.28,0.26696124459173337,0.95,0.0189,10.714,85.05,0.0,0.0
HD219666b,high,-56:54:14.035,23:18:13.6298,9.81,2458600.75321,0.00081,6.034468,1.4e-05,24.59,1.6017674675504003,2.14,0.0419,13.3,86.38,0.0,0.0
HD221416b,high,-21:48:05.116,23:32:08.0724,8.15,2458357.0149,0.0025,14.2767,0.0037,31.1,0.8008837337752002,9.0,0.02854,9.32,85.75,0.115,254.0
HD235088b,high,+53:22:36.540,20:02:27.4229,9.17,2459798.46351,0.00055,7.4341393,6.2e-06,49.21,0.6720058915585013,2.69,0.02375,19.62,88.75,0.0,0.0
HD260655b,high,+17:33:53.333,06:37:10.7988,9.593,2459497.9102,0.0003,2.76953,3e-05,58.52,0.7180336923501796,1.13,0.02586,14.43,87.35,0.039,57.0
HD260655c,high,+17:33:53.333,06:37:10.7988,9.593,2459490.3646,0.0004,5.70588,7e-05,52.74,0.856117094725214,0.91,0.032,23.37,87.79,0.038,335.0
HD332231b,high,+33:44:40.024,20:26:57.9179,8.56,2459178.77035,0.00012,18.7120712,6.7e-06,5.0,5.891558501334806,6.12,0.06976,24.21,89.68,0.032,47.0
HIP65Ab,medium,-54:49:49.853,00:00:44.9093,11.13,2458658.653779,4.2e-05,0.98097217,1.2e-07,9.58,6.6832366749516705,0.77,0.287,5.289,77.18,0.0,0.0
HIP41378e,high,+10:04:49.334,08:26:27.8492,8.92,2457142.0194,0.001,514.0,452.0,17.14,1.5741507870753935,13.0,0.0369,283.0,89.91,0.0,0.0
HIP41378f,high,+10:04:49.334,08:26:27.8492,8.92,2457186.9142,0.0004,1084.1616,0.0004,5.03,5.265580410567982,18.97,0.06602,460.0,89.98,0.0,0.0
HIP67522b,high,-40:50:08.878,13:50:06.2796,9.8,2458604.02371,0.00036,6.959503,1.6e-05,6.16,5.458897173893031,4.89,0.0667,11.7,89.34,0.059,343.0
HIP94235b,high,-60:16:19.925,19:10:57.8503,8.284,2459037.8704,0.0011,7.713057,2.1e-05,44.7,0.6904170118751726,2.6,0.0253,15.7,87.14,0.32,17.0
HIP113103b,high,-43:00:37.249,22:54:17.3682,9.9,2458325.5966,0.0033,7.610303,1.8e-05,62.08,0.6259780907668232,2.16,0.0242,21.39,88.23,0.17,350.0
HIP113103c,high,-43:00:37.249,22:54:17.3682,9.9,2458337.0559,0.0019,14.245648,1.9e-05,32.53,1.077050538525269,3.54,0.0303,32.49,89.24,0.17,290.0
HIP116454b,high,+00:26:43.844,23:35:49.2850,10.162,2456907.89,0.03,9.1205,0.0005,51.45,0.8377059744085428,1.7,0.0311,27.22,88.43,0.205,-59.1
HR858b,high,-30:48:52.259,02:51:56.2464,6.382,2458409.18969,0.00084,3.58599,0.00015,114.32,0.23013900395839085,2.82,0.0146,7.87,85.5,0.0,0.0
K2-3b,high,-01:27:17.279,11:29:20.3917,12.17,2456813.41843,0.00039,10.054626,0.0,45.64,1.463684065175366,2.6,0.0349,29.44,89.4,0.107,188.0
K2-3c,high,-01:27:17.279,11:29:20.3917,12.17,2456812.28202,0.00098,24.646582,4.1e-05,76.7,0.8192948540918714,3.53,0.0259,54.57,89.905,0.0,0.0
K2-18b,high,+07:35:18.255,11:30:14.5177,13.5,2456836.17194,0.00059,32.94171,0.0008,33.35,3.1114793335174444,2.66,0.05295,81.79352339379649,89.579,0.0,0.0
K2-19b,ttvs,+00:36:12.877,11:39:50.4804,13.0,2456932.195,0.0011,7.920978,1.9e-05,12.53,7.023842400810089,3.27,0.0754,19.66,89.5,0.0,0.0
K2-19c,high,+00:36:12.877,11:39:50.4804,13.0,2456853.0007,0.0004,11.8993,0.0008,36.31,2.3566234005339224,3.76,0.04455,23.426382,89.044,0.0,0.0
K2-21c,high,-14:29:20.349,22:41:12.8862,12.85,2456988.4703,0.0011,15.50195,0.00056,50.79,1.3992451440670164,2.37,0.03533,35.5,88.85,0.21,59.96
K2-24b,high,-24:59:25.258,16:10:17.6977,11.28,2456905.7948,0.0007,20.8851,0.0003,19.45,2.1817177575255453,5.48,0.0431,29.11,89.2,0.24,-16.7
K2-24c,high,-24:59:25.258,16:10:17.6977,11.28,2456915.6251,0.0004,42.3633,0.0006,9.75,4.28058547362607,6.33,0.0594,53.0,89.76,0.0,0.0
K2-25b,medium,+15:14:52.013,04:13:05.6134,15.56,2457651.471616,6.2e-05,3.48456248,6.4e-07,13.69,12.878578661511552,0.79,0.106,25.1,88.3,0.27,62.0
K2-29b,low,+24:24:06.301,04:10:40.8826,12.56,2458560.23617,0.00013,3.25883406,3.9e-07,5.6,22.618061309030654,2.22,0.1419,10.51,86.66,0.066,132.0
K2-30b,low,+22:17:57.874,03:29:22.0746,13.53,2457526.93509,0.00014,4.09847804,6.9e-07,7.74,17.205191935929303,2.33,0.1266,12.3,86.92,0.0,0.0
K2-31b,low,-23:32:52.289,16:21:45.7780,10.8,2456952.717941,9.1e-05,1.25784887,7.8e-07,7.7,7.603792690785234,0.98,0.14,5.642,79.9,0.0,0.0
K2-32b,alert,-19:32:34.150,16:49:42.2601,12.31,2456900.9279,0.0003,8.99183,8e-05,17.48,3.8387185860259594,3.63,0.0563,19.0,89.0,0.0,0.0
K2-32c,high,-19:32:34.150,16:49:42.2601,12.31,2456899.4234,0.0017,20.66093,0.0008,48.33,1.3440117831170026,4.38,0.03342,34.58,89.4,0.049,168.0
K2-32d,high,-19:32:34.150,16:49:42.2601,12.31,2456903.7871,0.0012,31.71701,0.00101,40.17,1.5925619073920647,4.85,0.03704,46.02,89.4,0.05,185.0
K2-33b,high,-19:19:09.407,16:10:14.7377,15.568,2456898.6903,0.002,5.42526,0.00026,49.5,2.697229126392341,4.17,0.0476,9.2,86.9,0.0,0.0
K2-34b,low,+22:14:09.293,08:30:18.9093,11.45,2457851.317006,5.2e-05,2.99563536,2.5e-07,7.59,7.438092607935193,2.48,0.0887,6.7,83.0,0.0,0.0
K2-36c,alert,+03:51:59.007,11:17:47.7836,11.73,2456812.84001,0.00071,5.340888,8.6e-05,46.54,1.4728896253337016,1.49,0.0412,16.01,86.917,0.0,0.0
K2-39b,high,-09:01:21.977,22:33:28.4131,10.872,2456985.4315,0.0058,4.60497,0.00077,95.77,0.4234557672834392,8.94,0.01925,3.41,80.39,0.0,0.0
K2-52b,high,-24:58:11.818,16:26:26.7310,15.898,2456896.027,0.0011,3.535055,1.7e-05,27.13,6.692442235110006,5.38,0.075,5.2,86.5,0.0,0.0
K2-55b,high,-17:15:02.538,22:15:00.4644,13.55,2457063.20281,0.00024,2.8492816,1.8e-06,28.05,3.939979747767652,2.03,0.0561,10.5,88.2,0.07,23.9
K2-79b,high,+13:31:09.713,03:41:01.4150,12.07,2457103.2275,0.00084,10.9947,0.00047,65.78,0.9297615759918991,4.92,0.02968,13.22,87.05156346195037,0.0,0.0
K2-87b,high,+18:49:38.714,04:24:56.6990,14.13,2457062.5749,0.0014,9.72664,0.00031,43.64,2.807695848292368,4.56,0.05,14.4,87.74,0.0,0.0
K2-107b,medium,-22:17:36.244,18:59:56.4921,12.92,2457334.34984,9.7e-05,3.3139151,2.9e-06,11.8,6.628003314001657,3.29,0.083,5.68,81.9,0.0,0.0
K2-113b,high,+06:52:08.045,01:17:47.8306,13.68,2457893.20124,0.00042,5.8176015,2.8e-06,13.98,8.312620822977077,3.09,0.0911,11.4,86.21,0.0,0.0
K2-115b,high,+12:16:54.999,08:26:12.8235,13.362,2457522.07056,0.00026,20.2729861,7e-06,7.82,17.619442143054403,4.03,0.1254,32.4,88.82,0.14,104.0
K2-116b,high,-11:34:43.285,22:24:36.3824,10.758,2457422.1782,0.004,4.654879,2.2e-05,434.96,0.11046672190002761,2.22,0.0096,13.8,87.8,0.0,0.0
K2-121b,low,+17:34:45.804,08:27:44.8140,13.32,2458092.553641,8.7e-05,5.1857532,8.3e-07,7.85,13.743901316395101,2.12,0.109,14.46,87.2,0.22,73.0
K2-129b,high,-25:38:41.927,19:16:35.5928,13.63,2457335.0098,0.001,8.2395,0.0003,150.5,0.8285004142502072,1.56,0.0266,34.4,89.2,0.13,39.9
K2-132b,high,-08:44:49.846,12:08:39.9335,11.897,2458434.0306,0.0049,9.172616,5.1e-05,61.52,0.7916781736168645,7.94,0.0279,4.8,77.5,0.29,82.6
K2-136c,high,+22:52:57.794,04:29:38.9938,11.2,2457864.6389,0.00075,17.307013,9.2e-05,26.61,1.8042897910337843,3.6,0.0385,34.8,89.3,0.0,0.0
K2-138f,high,-10:50:58.897,23:15:47.7685,12.21,2457738.7018,0.0044,12.7576,0.0012,66.55,1.0310227377335912,3.25,0.0298,27.32,88.99,0.0,0.0
K2-138g,high,-10:50:58.897,23:15:47.7685,12.21,2457773.8541,0.0044,41.9665,0.006,53.54,1.2335450612169752,4.03,0.0347,58.59,89.29,0.0,0.0
K2-139b,alert,-17:54:38.410,19:16:15.9691,11.65,2457325.8171,0.0003,28.3824,0.0003,5.0,11.350455675227836,4.89,0.0961,42.7,89.62,0.12,124.0
K2-140b,low,-09:36:27.495,12:32:32.9632,12.62,2457732.80773,0.0001,6.5692045,1.5e-06,7.26,16.183374758354045,3.77,0.117,13.84,88.3,0.0,0.0
K2-141b,high,-01:11:21.448,23:23:39.9709,11.45,2457744.0716,0.00022,0.2803244,1.5e-06,113.14,0.5339224891834667,0.98,0.02037,2.292,86.3,0.0,0.0
K2-141c,high,-01:11:21.448,23:23:39.9709,11.45,2457751.1546,0.001,7.7485,0.00022,120.09,0.552333609500138,0.75,0.09,21.6,87.2,0.0,0.0
K2-155b,high,+21:21:12.937,04:21:52.4852,12.762,2457818.7153,0.0021,6.34365,0.00028,106.57,0.7732670533001933,2.27,0.0261,18.5,88.3,0.0,0.0
K2-155c,high,+21:21:12.937,04:21:52.4852,12.762,2457994.66467,0.00056,13.853487,1.6e-05,60.52,1.279572862008653,3.03,0.0339,30.0,88.9,0.0,0.0
K2-174b,high,+16:20:50.761,04:03:10.2793,12.426,2457064.2158,0.0011,19.56236,0.00059,33.16,1.6846175089754212,5.82,0.036,26.6,89.95,0.0,0.0
K2-198b,alert,-06:27:53.620,13:15:22.5217,10.97,2457784.02605,0.00028,17.042849,1e-05,17.29,2.7800791678173615,2.95,0.0485,42.0,89.4,0.0,0.0
K2-198d,high,-06:27:53.620,13:15:22.5217,10.97,2457824.48087,0.0003,7.4500372,4.7e-06,78.85,0.6075669704501518,2.98,0.022,19.5,89.86,0.0,0.0
K2-199c,high,-06:08:10.135,13:55:36.4097,12.289,2457687.52395,0.00064,7.3744828,9.3e-06,34.35,1.8411120316671268,2.42,0.039,22.1,88.9,0.0,0.0
K2-212b,high,+03:05:48.977,01:13:41.6160,13.041,2457399.64109,0.00039,9.795647,2.1e-05,46.43,1.5465341066003866,2.53,0.03577,27.97,89.13899454751197,0.0,0.0
K2-232b,high,+18:39:16.310,04:55:03.9625,9.85,2458160.403851,3.9e-05,11.16844233,6.6e-07,5.0,9.34364356071067,5.09,0.0887,19.2,89.14,0.26,207.0
K2-233d,high,-20:13:53.987,15:21:55.1981,10.88,2458151.77395,0.00034,24.36543,2.1e-05,32.57,1.2335450612169752,3.8,0.0325,44.2,89.35,0.0,0.0
K2-237b,low,-28:42:38.014,16:55:04.5335,11.6,2457942.11408,0.00012,2.18053435,4.6e-07,5.0,15.677068949645586,3.06,0.118,5.4,84.3,0.0,0.0
K2-238b,high,-07:51:27.077,23:10:49.0455,13.75,2457984.06074,0.00023,3.2046909,2.2e-06,17.71,7.051459081285096,3.51,0.08,6.3,84.5,0.0,0.0
K2-239b,high,+04:26:28.888,10:42:22.6341,14.55,2457908.191,0.01,5.24,0.001,210.54,0.7916781736168645,1.51,0.0259,24.6,88.99,0.0,0.0
K2-239c,high,+04:26:28.888,10:42:22.6341,14.55,2457916.86,0.01,7.775,0.001,293.86,0.5983614102918162,1.26,0.0241,34.0,88.77,0.0,0.0
K2-240b,high,-17:52:30.795,15:11:23.9071,13.392,2457996.825,0.01,6.034,0.001,62.25,1.583356347233729,2.19,0.0362,21.1,89.26,0.0,0.0
K2-260b,medium,+16:52:03.795,05:07:28.1588,12.69,2458109.67429,0.00018,2.62669768,8e-07,6.75,11.45171683696953,4.26,0.0973,5.18,88.7,0.0,0.0
K2-261b,high,+00:29:36.085,10:52:07.7793,10.64,2458325.64553,0.0004,11.6334758,8e-06,12.2,3.406057258584185,5.1,0.0529,13.3,88.4,0.39,143.0
K2-266b,high,+00:56:15.268,10:31:44.5057,11.808,2457949.675,0.003,0.658524,1.7e-05,442.32,0.24855012427506215,0.31,0.043,4.0,75.3,0.0,0.0
K2-266d,high,+00:56:15.268,10:31:44.5057,11.808,2458488.6672,0.0027,14.6982,4.8e-05,27.5,1.8503175918254624,3.37,0.0383,31.7,89.46,0.05,87.0
K2-280b,high,-22:14:51.551,19:26:22.8813,12.54,2457327.4767,0.001,19.8952,0.0008,19.03,3.470496179692534,8.2,0.0547,17.6,88.5,0.0,0.0
K2-284b,high,+20:15:18.364,05:16:33.7637,13.322,2458146.80246,0.00062,4.7948599,5e-06,40.17,2.1725121973672095,2.17,0.042,16.84,89.0,0.078,180.2
K2-285c,alert,+01:18:01.074,23:17:32.2274,11.75,2457744.53906,0.00039,7.138048,7.2e-05,31.37,2.144895516892203,2.52,0.04115,22.51,89.861,0.0,0.0
K2-287b,alert,-22:21:29.763,15:32:17.8467,11.308,2458001.72218,0.00016,14.89329,3e-05,6.92,7.217159164135137,3.58,0.0801,23.9,88.13,0.48,10.1
K2-289b,high,-15:47:32.564,16:26:34.3299,14.465,2456897.144,0.001,13.15697,5e-05,14.8,7.263186964926815,4.03,0.081,22.5,88.48,0.0,0.0
K2-295b,low,+06:49:00.761,01:18:26.3767,13.95,2457624.83244,0.00012,4.02488968,7.7e-07,9.94,22.03811101905551,2.5,0.1304,13.76,89.3,0.0,0.0
K2-321b,high,+02:30:51.670,10:25:37.2670,13.657,2457909.17,0.01,2.298,0.001,79.2,1.3256006628003314,1.15,0.033166247903554,15.135597601682164,88.94,0.0,0.0
K2-329b,high,-05:09:50.730,23:24:32.4761,12.697,2457773.157267,7.3e-05,12.4551225,3.1e-06,6.79,11.332044554911166,3.62,0.09679,26.62,89.22,0.07,161.0
K2-333b,high,+15:12:20.603,09:07:09.4325,11.56,2458525.4295,0.0012,14.759859,3e-05,22.66,2.540734603700635,4.95,0.0461,23.06,89.35,0.0,0.0
K2-334b,high,+16:19:31.996,09:05:57.4722,11.84,2458209.31601,0.00031,5.1138428,5.1e-06,40.62,1.362422903433674,2.45,0.0343,15.35,88.58,0.0,0.0
K2-344b,high,+21:40:07.320,09:05:26.7420,13.438,2458095.747731,0.001269,3.35585,9.1e-05,87.39,1.0218171775752556,1.76,0.0295,13.79,88.29624859168993,0.0,0.0
K2-348b,high,+24:25:23.176,08:43:30.8022,12.56,2458096.716772,0.000995,4.688418,0.000119,52.47,1.463684065175366,2.74,0.035,12.55,88.21920700758979,0.0,0.0
K2-353b,high,-02:16:54.784,13:26:28.0856,12.28,2458189.85182,0.00098,15.46681,0.00057,27.92,2.503912363067293,3.37,0.0503,25.06,88.239,0.0,0.0
K2-370b,high,+19:49:54.504,04:31:16.9643,11.11,2457822.184,0.0008,2.14084,3.6e-05,76.66,0.6720058915585013,1.94,0.0302,3.66,75.10171748721213,0.0,0.0
K2-403b,high,+09:40:26.263,10:56:45.4890,12.356,2457908.9613,0.0014,33.589979,0.000768,20.88,3.1206848936757803,4.95,0.0551,39.87,88.96094508956219,0.0,0.0
K2-405b,alert,+12:32:08.279,10:57:30.2843,12.864,2457908.9959,0.0004,3.435471,3.6e-05,32.69,2.559145724017306,2.49,0.0548,6.33,82.09108081241733,0.0,0.0
K2-406b,high,-25:22:14.669,15:23:32.9582,9.46,2458010.3895,0.0025,22.549406,0.001377,15.15,2.1725121973672095,4.78,0.0439,32.15,89.0304699355326,0.0,0.0
K2-415b,high,+11:51:41.116,09:08:48.8546,15.43,2458100.07116,0.00069,4.0179694,2.7e-06,76.71,2.7156402467090124,1.02,0.0472,29.63,89.32,0.0,0.0
K2-417b,high,-10:02:09.490,23:20:33.8840,13.858,2458373.0321,0.0009,6.535,0.0014,30.3,3.2495627358924786,2.07,0.0525,23.4,89.0,0.0,0.0
KELT-1b,low,+39:23:01.782,00:01:26.9169,10.63,2457727.01162,0.00013,1.21749415,1.2e-07,6.37,7.097486882076774,2.71,0.0771,3.69,86.8,0.0013,358.0
KELT-2Ab,medium,+30:57:25.717,06:10:39.3452,8.71,2459467.198989,8e-05,4.11377556,8.3e-07,5.0,6.3150142686182456,5.08,0.0722,6.59,88.6,0.0,0.0
KELT-3b,low,+40:23:16.978,09:54:34.3870,9.82,2458543.04054,0.00018,2.70338919,4.8e-07,5.0,9.629015925619074,3.15,0.0939,6.02,84.2,0.0,0.0
KELT-4Ab,low,+25:34:23.474,10:28:15.0111,9.98,2456617.81302,0.00031,2.98958682,9.9e-07,5.0,12.445917334069778,3.46,0.1089,5.79,83.16,0.0,0.0
KELT-6b,medium,+30:38:24.279,13:03:55.6468,10.337,2457218.65874,0.00034,7.8456043,2.2e-06,5.06,7.25398140476848,5.79,0.0776,10.916,88.8,0.0,0.0
KELT-7b,low,+33:19:05.403,05:13:10.9287,8.54,2459109.138447,5.1e-05,2.7347656,2e-07,5.0,9.04906563564393,3.49,0.091,5.53,83.8,0.0,0.0
KELT-8b,medium,+24:07:38.577,18:53:13.3242,10.84,2457986.46737,0.00026,3.24408156,1e-06,5.0,13.615023474178402,3.48,0.115,5.9,82.7,0.04,85.0
KELT-9b,low,+39:56:19.765,20:31:26.3534,7.56,2458955.970923,5e-05,1.48111874,1.4e-07,5.0,7.622203811101905,3.85,0.08228,3.2,86.79,0.0,0.0
KELT-10b,high,-47:00:11.664,18:58:11.6095,10.62,2457612.49947,0.00041,4.1662541,1.6e-06,5.0,17.14075301482095,3.74,0.119,9.34,88.6,0.0,0.0
KELT-11b,high,-09:23:56.494,10:46:49.7401,8.04,2458255.43247,0.00013,4.7362006,3.4e-06,8.23,3.083862653042438,7.11,0.051,4.98,85.3,0.0007,359.0
