name,priority,dec_j2000,ra_j2000,v_mag,t0_bjd_tdb,t0_unc,period_days,period_unc,min_telescope_inches,depth_r_mmag,duration_hours,rp_over_rs,sma_over_rs,inclination,eccentricity,periastron
HAT-P-2b,low,+41:02:53.109,16:20:36.3579,8.69,2458657.66292,0.00011,5.63346785,6.1e-07,5.0,6.09408082481819,4.31,0.07227,8.99,86.72,0.5171,185.22
HAT-P-3b,low,+48:01:43.206,13:44:22.5939,11.86,2456843.022438,8.1e-05,2.89973815,1.3e-07,5.0,13.016662063886587,2.08,0.1063,10.4,87.1,0.0,0.0
HAT-P-4b,medium,+36:13:46.737,15:19:57.9205,11.12,2455584.57238,0.00018,3.05652301,2.9e-07,5.11,9.058271195802265,4.25,0.086,6.0,89.7,0.0,0.0
HAT-P-5b,low,+36:37:17.168,18:17:37.3127,11.95,2457155.73168,0.00011,2.78847323,1.5e-07,5.09,14.342262726686918,2.94,0.1106,7.5,86.8,0.0,0.0
HAT-P-6b,low,+42:27:57.503,23:39:05.8101,10.47,2456100.88331,0.0002,3.85299668,3.6e-07,5.0,9.52775476387738,3.51,0.0934,7.69,85.5,0.0,0.0
HAT-P-7b,ttvs,+47:58:10.216,19:28:59.3538,10.48,2455739.244382,1.3e-05,2.204736003,4.9e-08,5.89,6.821320077326705,3.95,0.0781,4.03,82.2,0.0016,165.0
HAT-P-8b,low,+35:26:49.606,22:52:09.8635,10.36,2456052.75596,0.00024,3.07634347,5.8e-07,5.0,10.070882813219184,3.93,0.0921,6.29,87.1,0.0,0.0
HAT-P-9b,low,+37:08:26.342,07:20:40.4562,12.34,2456489.15311,0.00019,3.92281131,3.9e-07,5.85,12.961428702936573,3.34,0.107,8.5,86.4,0.08,152.0
HAT-P-11b,low,+48:04:51.097,19:50:50.2474,9.461,2455798.515261,2.3e-05,4.88780201,1.7e-07,8.69,4.041240909509344,2.34,0.0576,15.58,88.5,0.2,355.2
HAT-P-12b,low,+43:29:36.602,13:57:33.4668,12.84,2456851.481119,6e-05,3.21305762,1.5e-07,5.98,25.398140476848017,2.34,0.1406,11.77,89.0,0.0,0.0
HAT-P-13b,low,+47:21:07.275,08:39:31.8073,10.42,2455631.47279,0.00019,2.91624268,4.7e-07,5.73,7.594587130626898,3.32,0.0844,5.8,83.4,0.021,181.0
HAT-P-14b,low,+38:14:31.909,17:20:27.8782,9.99,2457304.81275,0.00015,4.62766098,3.4e-07,7.84,5.164319248826291,2.35,0.0805,8.51,83.77,0.0,0.0
HAT-P-15b,high,+39:27:38.312,04:24:59.5347,12.41,2456159.44417,0.00017,10.86345165,8.9e-07,5.4,12.436711773911442,5.45,0.1019,19.2,89.1,0.19,262.0
HAT-P-16b,low,+42:27:47.216,00:38:17.5584,10.91,2457237.26396,0.00013,2.77596748,2.1e-07,5.0,13.302034428794991,3.07,0.1071,7.2,86.6,0.036,214.0
HAT-P-17b,medium,+30:29:19.445,21:38:08.7311,10.38,2456703.460703,5e-05,10.33853522,7e-07,5.0,18.75172604252969,4.04,0.1238,22.6,89.2,0.342,201.0
HAT-P-18b,low,+33:00:44.939,17:05:23.1475,12.759,2457408.449133,8.1e-05,5.50802941,5.3e-07,6.93,22.35110006443892,2.71,0.1356,16.39,88.53,0.0,0.0
HAT-P-19b,low,+34:42:41.552,00:38:04.0136,12.901,2456927.55807,0.00011,4.00878423,4.4e-07,7.43,24.357912178956088,2.87,0.1418,12.2,88.2,0.07,256.0
HAT-P-20b,low,+24:20:11.518,07:27:39.9487,11.35,2457959.12043,5.6e-05,2.87531773,1.1e-07,5.0,18.208597993187887,1.86,0.1284,11.2,86.8,0.015,317.0
HAT-P-21b,low,+41:01:40.669,11:25:05.9858,11.46,2458159.89639,0.00027,4.12448852,6.9e-07,5.82,10.236582896069224,3.71,0.095,9.6,87.2,0.228,309.0
HAT-P-22b,low,+50:07:42.063,10:22:43.5924,9.76,2458261.30598,6.9e-05,3.21223218,1.9e-07,5.0,13.32965110927,2.86,0.1065,8.6,86.9,0.016,156.0
HAT-P-23b,low,+16:45:43.810,20:24:29.7235,11.94,2457742.57379,7.2e-05,1.212886397,7.4e-08,6.21,16.091319156770687,2.19,0.1162,4.55,85.7,0.0,0.0
HAT-P-24b,medium,+14:15:45.409,07:15:18.0194,11.76,2458011.8958,0.00014,3.35524439,2.6e-07,5.27,11.295222314277822,3.72,0.097,7.6,88.6,0.067,197.0
HAT-P-25b,low,+25:11:50.687,03:13:44.4981,13.15,2457759.39314,0.00015,3.65281524,3.7e-07,8.53,19.405320813771517,2.81,0.1269,10.9,88.2,0.023,287.0
HAT-P-26b,low,+04:03:36.117,14:12:37.5329,11.76,2456901.059458,9.4e-05,4.2345002,6.4e-07,9.35,6.701647795268342,2.32,0.0737,13.1,88.6,0.12,54.0
HAT-P-27b,low,+05:56:50.548,14:51:04.1870,12.19,2457128.31066,0.00013,3.03957804,2.4e-07,5.94,12.961428702936573,1.68,0.119,9.7,84.7,0.08,63.0
HAT-P-28b,medium,+34:43:42.203,00:52:00.1877,13.03,2458134.11472,0.0003,3.25721296,8e-07,8.59,15.419313265212187,3.31,0.113,8.4,88.0,0.05,233.0
HAT-P-29b,medium,+51:46:43.562,02:12:31.4784,11.83,2457652.90414,0.00048,5.7233685,2.2e-06,6.68,9.122710116910614,3.9,0.0885,11.6,88.0,0.07,203.0
HAT-P-30b,low,+05:50:12.352,08:15:47.9805,10.35,2457825.80333,0.00011,2.81060097,2.1e-07,5.0,11.019055509527755,2.25,0.1109,6.771,82.7,0.0,0.0
HAT-P-31b,high,+26:25:35.989,18:06:09.0499,11.67,2458940.75332,0.00034,5.0052702,3.1e-06,7.6,7.060664641443432,4.77,0.08,9.34,87.1,0.245,274.3
HAT-P-32b,low,+46:41:16.210,02:04:10.2775,11.44,2456265.154123,4.4e-05,2.150008197,8.9e-08,5.0,27.055141305348428,3.13,0.1489,5.34,89.0,0.16,50.0
HAT-P-33b,low,+33:50:06.118,07:32:44.2170,11.03,2458078.129918,8.8e-05,3.47447703,1.8e-07,5.0,13.256006628003314,4.43,0.1058,6.3889,87.2,0.0,0.0
HAT-P-34b,medium,+18:06:17.399,20:12:46.8867,10.4,2458708.63767,0.00018,5.45264682,9.2e-07,5.45,7.530148209518549,3.53,0.08,9.5,87.1,0.44,20.0
HAT-P-35b,medium,+04:47:13.417,08:13:00.1786,11.59,2457620.79024,0.00037,3.6466584,9e-07,6.71,10.752094264936021,3.98,0.0954,7.45,87.3,0.025,248.0
HAT-P-36b,low,+44:54:55.197,12:33:03.9061,12.15,2457885.383994,9.4e-05,1.327346813,9.7e-08,6.21,19.01868728712142,2.22,0.126,4.67,85.2,0.063,51.0
HAT-P-37b,low,+51:16:08.849,18:57:11.0562,13.23,2457938.84392,0.00016,2.79744256,4.1e-07,9.72,22.259044462855563,2.36,0.1394,9.19,86.7,0.0,0.0
HAT-P-38b,low,+32:14:46.090,02:21:31.9802,12.51,2457570.76143,0.00011,4.64032787,8.8e-07,7.4,10.098499493694192,3.16,0.0918,12.2,88.3,0.07,240.0
HAT-P-39b,low,+17:49:48.234,07:35:01.9794,12.422,2458089.92057,0.00019,3.5438737,3.4e-07,5.78,11.525361318236214,4.2,0.099,6.74,87.0,0.0,0.0
HAT-P-40b,medium,+45:27:26.515,22:22:03.0875,11.34,2456651.13368,0.00042,4.4572184,1.2e-06,6.05,7.90757617601031,6.17,0.0807,5.92,88.3,0.0,0.0
HAT-P-41b,low,+04:40:20.783,19:49:17.4399,11.36,2458071.24389,0.00015,2.69404968,9.6e-07,5.0,12.676056338028168,4.12,0.1028,5.44,87.7,0.0,0.0
HAT-P-42b,medium,+06:05:50.015,09:01:22.6490,12.17,2458941.87092,0.0002,4.64183885,8.7e-07,7.81,8.229770781552057,4.04,0.086,8.1,85.9,0.0,0.0
HAT-P-43b,low,+10:12:23.923,08:35:42.1747,13.36,2458223.6022,0.00011,3.33268054,4e-07,8.38,17.48135874067937,3.26,0.1193,8.64,88.7,0.0,0.0
HAT-P-44b,low,+47:00:53.045,14:12:34.5714,13.21,2457679.78645,0.00028,4.30119043,8.2e-07,7.45,22.507594587130626,3.21,0.1343,11.5,89.1,0.0,0.0
HAT-P-45b,low,-03:22:51.739,18:17:29.5774,12.79,2458082.99115,0.00035,3.12899506,5.9e-07,6.31,14.664457332228665,3.48,0.111,7.4,87.8,0.0,0.0
HAT-P-46b,high,-02:58:15.459,18:01:46.6086,11.94,2456736.78473,0.00028,4.46313574,8.6e-07,6.21,9.665838166252415,3.1,0.0942,8.9,85.5,0.12,70.0
HAT-P-49b,low,+26:41:33.603,20:21:45.9297,10.326,2459013.12497,0.0002,2.69155536,5.4e-07,5.29,7.3368314461935,4.14,0.0792,5.13,86.2,0.0,0.0
HAT-P-50b,medium,+12:08:21.838,07:52:15.2179,11.762,2458402.63014,0.00022,3.12200511,5e-07,8.38,6.637208874159993,3.73,0.0782,5.68,83.7,0.0,0.0
HAT-P-51b,low,+32:48:38.777,01:24:15.6413,13.44,2458345.31404,0.00019,4.21802122,6.5e-07,8.01,19.994476663904997,3.36,0.1278,10.5,88.5,0.0,0.0
HAT-P-52b,low,+29:01:20.522,02:50:53.2003,14.068,2458233.96601,0.0002,2.7535976,3.6e-07,9.51,15.87959127312897,2.41,0.116,8.9,87.0,0.0,0.0
HAT-P-53b,low,+38:58:05.259,01:27:29.0645,13.733,2457898.96242,0.00039,1.96162371,5.2e-07,8.77,14.830157415078707,2.83,0.112,5.6,86.2,0.0,0.0
HAT-P-54b,low,+25:28:57.157,06:39:35.5182,13.505,2458624.814979,9.8e-05,3.79985297,3.8e-07,7.26,24.90104022829789,1.8,0.1572,14.34,87.04,0.0,0.0
HAT-P-55b,low,+25:43:52.254,17:37:05.6338,13.207,2458279.65563,0.0002,3.58523207,7.2e-07,7.56,17.057902973395933,2.94,0.1202,9.8,87.7,0.0,0.0
HAT-P-56b,low,+27:15:08.212,06:43:23.5327,10.8,2458459.75023,0.00016,2.790825,3.7e-07,5.07,9.813127128785787,2.3,0.1054,6.37,82.13,0.0,0.0
HAT-P-57b,medium,+10:35:50.127,18:18:58.4251,10.64,2457598.49926,0.00037,2.46529488,4.6e-07,5.0,10.982233268894412,3.52,0.0968,5.83,88.3,0.0,0.0
HAT-P-58b,low,+56:52:05.584,04:35:23.1828,12.925,2457369.03094,0.00056,4.0138379,2.4e-06,9.36,9.039860075485594,4.17,0.0895,7.02,85.64,0.0,0.0
HAT-P-59b,low,+62:31:45.177,19:29:50.0700,11.901,2458900.19541,0.00013,4.1419776,2e-06,6.33,10.107705053852527,2.35,0.10452,9.87,85.18,0.0,0.0
HAT-P-60b,high,+52:03:14.020,01:53:07.7732,9.71,2458360.94029,0.00056,4.7947813,2.4e-06,5.63,6.15851974592654,5.07,0.07622,6.146,83.75,0.0,0.0
HAT-P-61b,low,+50:07:52.574,05:01:55.2577,13.188,2457851.21119,0.00047,1.90231289,7.7e-07,11.09,9.582988124827395,1.67,0.0984,6.9,83.62,0.0,0.0
